ensemble,model,weight,quantile,window,horizons
QRA,Rt,0.006,0.3,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.3,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.35,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.35,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.35,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.4,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.4,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.4,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.45,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.45,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.45,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.5,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.5,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.5,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.55,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.55,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.55,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.6,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.6,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.6,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.65,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.65,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.65,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.7,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.7,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.7,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.75,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.75,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.75,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.8,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.8,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.8,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.85,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.85,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.85,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.9,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.9,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.9,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.95,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.95,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.95,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.975,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.975,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.975,4,"1, 2, 3, 4"
QRA,Case convolution,0.556,0.99,4,"1, 2, 3, 4"
QRA,Rt,0.006,0.99,4,"1, 2, 3, 4"
QRA,Timeseries,0.438,0.99,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.01,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.01,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.01,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.025,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.025,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.025,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.05,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.05,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.05,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.1,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.1,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.1,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.15,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.15,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.15,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.2,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.2,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.2,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.25,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.25,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.25,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.3,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.3,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.3,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.35,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.022,0.35,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.413,0.35,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.4,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.4,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,0.4,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.45,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.45,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,0.45,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.5,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.5,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,0.5,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.55,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.55,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,0.55,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.566,0.6,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.6,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.423,0.6,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.523,0.65,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.65,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.465,0.65,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.523,0.7,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.7,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.465,0.7,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.523,0.75,4,"1, 2, 3, 4"
QRA (weighted quantiles),Rt,0.011,0.75,4,"1, 2, 3, 4"
QRA (weighted quantiles),Timeseries,0.465,0.75,4,"1, 2, 3, 4"
QRA (weighted quantiles),Case convolution,0.523,0.8,4,"1, 2, 3, 4"
